SessionID,UserID,session_time,page_views,cart_items,purchase,DeviceType,Country,ReferralSource,engagement_score,time_per_page,cart_flag
session_0,user_2223,55,1,0,0,Desktop,India,Social Media,56,55.0,0
session_1,user_2192,220,2,0,0,Tablet,Germany,Email,222,110.0,0
session_10,user_2357,191,2,0,0,Tablet,India,Direct,193,95.5,0
session_100,user_1233,101,2,1,0,Desktop,USA,Email,103,50.5,1
session_1001,user_2877,264,3,5,0,Desktop,Germany,Direct,267,88.0,1
session_1003,user_1216,221,2,4,0,Mobile,India,Social Media,223,110.5,1
session_1004,user_1154,147,1,0,0,Mobile,Canada,Social Media,148,147.0,0
session_1005,user_1252,168,2,2,0,Tablet,Germany,Google,170,84.0,1
session_1006,user_1471,138,1,0,0,Mobile,USA,Email,139,138.0,0
session_1008,user_1722,155,2,4,0,Tablet,Canada,Social Media,157,77.5,1
session_1009,user_1796,136,3,2,0,Tablet,Australia,Social Media,139,45.333333333333336,1
session_1010,user_2634,355,3,3,0,Mobile,Canada,Social Media,358,118.33333333333333,1
session_1011,user_2682,158,2,3,0,Desktop,Germany,Direct,160,79.0,1
session_1012,user_2220,165,2,2,0,Desktop,USA,Social Media,167,82.5,1
session_1013,user_1989,197,2,0,0,Mobile,France,Google,199,98.5,0
session_1014,user_1188,194,2,5,0,Desktop,Germany,Social Media,196,97.0,1
session_1016,user_2752,421,4,2,0,Tablet,France,Direct,425,105.25,1
session_1017,user_2046,294,2,0,0,Tablet,Canada,Google,296,147.0,0
session_102,user_1480,212,2,0,0,Desktop,Australia,Direct,214,106.0,0
session_1020,user_1489,88,2,0,0,Mobile,Germany,Direct,90,44.0,0
session_1021,user_1740,118,2,1,0,Tablet,France,Direct,120,59.0,1
session_1023,user_2410,247,3,5,0,Desktop,France,Social Media,250,82.33333333333333,1
session_1024,user_2179,194,2,4,0,Tablet,France,Google,196,97.0,1
session_1026,user_2997,94,2,0,0,Mobile,USA,Social Media,96,47.0,0
session_1029,user_1181,293,2,0,0,Desktop,France,Google,295,146.5,0
session_103,user_2791,148,2,3,0,Desktop,France,Social Media,150,74.0,1
session_1030,user_2600,188,2,0,0,Desktop,UK,Direct,190,94.0,0
session_1034,user_1258,236,2,0,0,Desktop,Canada,Email,238,118.0,0
session_1035,user_1548,259,2,2,0,Tablet,Australia,Google,261,129.5,1
session_1036,user_2985,74,2,0,0,Tablet,France,Social Media,76,37.0,0
session_1037,user_2861,230,2,0,0,Mobile,Germany,Email,232,115.0,0
session_1039,user_1161,320,3,2,0,Desktop,Germany,Social Media,323,106.66666666666667,1
session_104,user_2754,54,2,4,0,Tablet,UK,Social Media,56,27.0,1
session_1041,user_1746,224,3,2,0,Mobile,USA,Email,227,74.66666666666667,1
session_1042,user_1867,48,1,0,0,Tablet,Australia,Social Media,49,48.0,0
session_1043,user_1466,127,1,0,0,Tablet,Canada,Email,128,127.0,0
session_1044,user_2118,220,2,4,0,Tablet,UK,Direct,222,110.0,1
session_1046,user_1525,165,2,0,0,Mobile,USA,Email,167,82.5,0
session_1047,user_1438,251,2,3,0,Mobile,France,Email,253,125.5,1
session_1048,user_1331,119,2,0,0,Desktop,Canada,Direct,121,59.5,0
session_105,user_2525,199,2,2,0,Mobile,Canada,Social Media,201,99.5,1
session_1050,user_2475,178,2,2,0,Tablet,India,Direct,180,89.0,1
session_1052,user_1710,418,4,2,0,Mobile,Australia,Email,422,104.5,1
session_1053,user_1443,332,3,2,0,Desktop,France,Google,335,110.66666666666667,1
session_1055,user_1506,184,2,1,0,Tablet,USA,Google,186,92.0,1
session_1056,user_1488,204,2,1,0,Mobile,India,Direct,206,102.0,1
session_1057,user_2951,256,2,0,0,Mobile,UK,Direct,258,128.0,0
session_1058,user_1272,201,2,3,0,Tablet,UK,Social Media,203,100.5,1
session_1059,user_1381,326,2,0,0,Mobile,Canada,Google,328,163.0,0
session_106,user_1524,205,2,1,0,Desktop,UK,Google,207,102.5,1
session_1060,user_1617,278,2,0,0,Tablet,USA,Direct,280,139.0,0
session_1063,user_1114,269,2,2,0,Mobile,Germany,Social Media,271,134.5,1
session_1064,user_2115,113,2,2,0,Desktop,USA,Email,115,56.5,1
session_1065,user_2718,43,1,0,0,Tablet,France,Google,44,43.0,0
session_1066,user_2347,289,2,0,0,Tablet,Australia,Google,291,144.5,0
session_1067,user_1459,79,1,0,0,Mobile,Australia,Google,80,79.0,0
session_1068,user_2032,70,2,2,0,Tablet,Germany,Direct,72,35.0,1
session_1069,user_2948,177,2,1,0,Tablet,Germany,Direct,179,88.5,1
session_107,user_2173,45,2,0,0,Mobile,UK,Email,47,22.5,0
session_1070,user_1569,381,3,1,0,Tablet,India,Social Media,384,127.0,1
session_1071,user_2602,207,2,4,0,Desktop,Germany,Social Media,209,103.5,1
session_1072,user_1364,237,2,0,0,Mobile,USA,Google,239,118.5,0
session_1075,user_1013,237,2,4,0,Desktop,Australia,Google,239,118.5,1
session_1076,user_2114,175,2,0,0,Desktop,UK,Google,177,87.5,0
session_1077,user_2086,75,1,0,0,Desktop,Australia,Google,76,75.0,0
session_1078,user_2831,20,1,0,0,Desktop,Germany,Email,21,20.0,0
session_1079,user_1802,178,2,0,0,Mobile,UK,Direct,180,89.0,0
session_108,user_2167,97,2,5,0,Mobile,Canada,Email,99,48.5,1
session_1080,user_2805,278,3,5,0,Tablet,Germany,Social Media,281,92.66666666666667,1
session_1081,user_2776,67,1,0,0,Tablet,UK,Google,68,67.0,0
session_1082,user_1058,138,1,0,0,Mobile,Germany,Google,139,138.0,0
session_1083,user_1410,237,2,0,0,Tablet,USA,Direct,239,118.5,0
session_1084,user_2396,51,1,0,0,Desktop,Australia,Email,52,51.0,0
session_1085,user_1894,415,3,2,0,Mobile,UK,Direct,418,138.33333333333334,1
session_1086,user_1227,35,1,0,0,Mobile,India,Social Media,36,35.0,0
session_1087,user_2824,77,2,1,0,Mobile,France,Email,79,38.5,1
session_1089,user_1004,98,1,0,0,Tablet,Germany,Google,99,98.0,0
session_1090,user_2322,206,2,3,0,Mobile,Australia,Google,208,103.0,1
session_1091,user_2296,219,2,4,0,Desktop,Canada,Email,221,109.5,1
session_1092,user_1786,319,2,2,0,Desktop,Germany,Email,321,159.5,1
session_1093,user_1006,248,2,4,0,Desktop,USA,Direct,250,124.0,1
session_1094,user_2289,118,1,0,0,Mobile,Germany,Google,119,118.0,0
session_1095,user_1541,81,2,0,0,Tablet,USA,Direct,83,40.5,0
session_1096,user_2861,225,2,1,0,Tablet,France,Email,227,112.5,1
session_1097,user_1261,117,1,0,0,Mobile,India,Direct,118,117.0,0
session_1098,user_1905,102,2,0,0,Tablet,USA,Google,104,51.0,0
session_1099,user_1113,126,1,0,0,Desktop,Australia,Direct,127,126.0,0
session_11,user_2760,248,3,4,0,Tablet,USA,Direct,251,82.66666666666667,1
session_1101,user_1514,167,1,0,0,Tablet,Canada,Google,168,167.0,0
session_1102,user_2941,95,1,0,0,Tablet,France,Email,96,95.0,0
session_1103,user_1864,89,1,0,0,Desktop,India,Social Media,90,89.0,0
session_1104,user_2189,146,2,0,0,Desktop,India,Google,148,73.0,0
session_1105,user_1594,39,2,1,0,Mobile,UK,Google,41,19.5,1
session_1106,user_2314,195,2,0,0,Desktop,India,Google,197,97.5,0
session_1107,user_1643,257,2,2,0,Desktop,France,Direct,259,128.5,1
session_1109,user_1775,185,2,0,0,Tablet,India,Google,187,92.5,0
session_111,user_2430,116,2,0,0,Desktop,Germany,Email,118,58.0,0
session_1113,user_1495,132,1,0,0,Tablet,India,Google,133,132.0,0
session_1114,user_1515,340,2,2,0,Desktop,UK,Google,342,170.0,1
session_1119,user_2694,381,4,5,0,Desktop,USA,Email,385,95.25,1
session_112,user_2488,201,2,3,0,Tablet,Canada,Social Media,203,100.5,1
